review_id,image_file,caption,object_correct,non_informative,hallucination,reviewer_notes,open_image
db023bf3758e9ee9,data/images/5d4bf2d6cf0b3a0f3f358fea.jpg,a pair of shoes laying on the ground,1,0,0,,Open image
f9c66f2e6320692b,data/images/5d4be664cf0b3a0f3f343977.JPG,a close up of a white plastic pipe,0,0,1,,Open image
7b23463d1831f1c6,data/images/5d4bf2b2cf0b3a0f3f358bb0.jpg,a brick oven with a large pan on top,1,0,0,,Open image
e3327c7a170863b5,data/images/5d4bf0bfcf0b3a0f3f355712.jpg,the main household object in this image is a house,1,0,0,,Open image
db99ad5b4ca14a8a,data/images/5d4bdf05cf0b3a0f3f336fb3.JPG,a light that is on a wooden floor,0,0,0,,Open image
1e33dd6357c6ed52,data/images/5d4bdfb1cf0b3a0f3f33809d.jpg,a lamp on a table next to a bottle,1,0,0,,Open image
229e76e7fd4a75d2,data/images/5ec4f81af0611d7ddd740be2.jpg,the main household object in this image is a white electrical device,1,0,0,,Open image
a6f7333f49e0f310,data/images/5ec4fa30f0611d7ddd741dbe.JPG,the main household object in this image is a gas stove,1,0,0,,Open image
5786c2c07569de62,data/images/5d4bf24dcf0b3a0f3f3580a2.jpg,a pair of dirty shoes on the ground,1,0,0,,Open image
fbdf39cc601ede75,data/images/5ec4fb68f0611d7ddd7427d4.jpg,the main household object in this image is a wall switch,1,0,0,,Open image
edb0cf92b69d85fd,data/images/5d4beacdcf0b3a0f3f34b1d8.jpg,the main household object in this image is a dirty room,0,0,0,,Open image
4b8a6e03b85439d9,data/images/5d4be02ecf0b3a0f3f338c56.JPG,two speakers on a brick wall,0,0,1,,Open image
06f8a871b939307d,data/images/5d4bf28fcf0b3a0f3f358788.jpg,the main household object in this image is a switch,1,0,0,,Open image
192c715a6bb90164,data/images/5d4be76ecf0b3a0f3f3456d4.jpg,a bag of garbage sitting on the ground,0,0,0,,Open image
c2d43b298e80ccf3,data/images/5d4befc5cf0b3a0f3f353ce2.jpg,a person is using a knife to cut a piece of wood,0,0,1,,Open image
62c5ebaa11361cab,data/images/5d4bef4dcf0b3a0f3f352fe2.jpg,a black stove top,1,0,0,,Open image
507b02d34be508fd,data/images/5d4be196cf0b3a0f3f33b4c3.jpg,a bathroom with a shower head and a shower curtain,0,0,1,,Open image
a642beb689d09f28,data/images/5d4bdf69cf0b3a0f3f337997.jpg,a white basket with a bunch of beer bottles,0,0,0,,Open image
41bf777bd39e7d87,data/images/5d4bdf81cf0b3a0f3f337c37.jpg,a pair of shoes on a rug,1,0,0,,Open image
1600007dc56d1c35,data/images/5d4bf28fcf0b3a0f3f358788.jpg,a blue and white sign with a white and blue sign,0,0,0,,Open image
905733a434686ee9,data/images/5d4be03ccf0b3a0f3f338dde.JPG,the main household object in this image is a chandel,0,0,0,,Open image
dc188658dc35b17c,data/images/5d4bdf69cf0b3a0f3f337997.jpg,the main household object in this image is a basket of beer bottles,0,0,0,,Open image
cfa344c5c71b5f0e,data/images/5d4bf296cf0b3a0f3f35885a.jpg,the main household object in this image is a rack of shoes,1,0,0,,Open image
