image_id,image_name,study_label,income,income_quartile,region,country_id,country_name,model,accepted_caption_terms,task,raw_output,predicted_label,confidence,correct_rank,boxes,metric_value
5d4bde4dcf0b3a0f3f335e21,5d4bde4dcf0b3a0f3f335e21.jpg,stove,898.0,Q3,am,us,United States,yolo_world,"[""stove"", ""oven"", ""cooker"", ""cooktop"", ""hob""]",detection,,,,,[],False
5d4bde4dcf0b3a0f3f335e25,5d4bde4dcf0b3a0f3f335e25.jpg,light source,898.0,Q3,am,us,United States,clip,"[""light"", ""lamp"", ""bulb"", ""lantern"", ""candle""]",classification,stove,stove,0.5475256443023682,2.0,,False
5d4bde4dcf0b3a0f3f335e25,5d4bde4dcf0b3a0f3f335e25.jpg,light source,898.0,Q3,am,us,United States,yolo_world,"[""light"", ""lamp"", ""bulb"", ""lantern"", ""candle""]",detection,,,,,[],False
5d4bdefccf0b3a0f3f336ec5,5d4bdefccf0b3a0f3f336ec5.jpg,roof,430.0,Q2,eu,rs,Serbia,yolo_world,"[""roof"", ""roofing"", ""ceiling""]",detection,,,,,[],False
5d4bdf05cf0b3a0f3f336fb3,5d4bdf05cf0b3a0f3f336fb3.JPG,light source,293.0,Q2,as,id,Indonesia,yolo_world,"[""light"", ""lamp"", ""bulb"", ""lantern"", ""candle""]",detection,,,,,[],False
5d4bdf17cf0b3a0f3f337195,5d4bdf17cf0b3a0f3f337195.JPG,switch,234.0,Q2,as,id,Indonesia,yolo_world,"[""switch"", ""light switch"", ""power switch""]",detection,,,,,[],False
5d4bdf26cf0b3a0f3f337341,5d4bdf26cf0b3a0f3f337341.JPG,footwear,670.0,Q2,af,tg,Togo,blip_baseline,"[""shoe"", ""shoes"", ""sandal"", ""sandals"", ""slipper"", ""slippers"", ""sneaker"", ""sneakers"", ""boot"", ""boots"", ""footwear""]",captioning,a person standing on a step with their feet up,,,,,False
5d4bdf69cf0b3a0f3f337997,5d4bdf69cf0b3a0f3f337997.jpg,trash container,228.0,Q2,af,tz,Tanzania,blip_baseline,"[""trash can"", ""garbage can"", ""garbage bin"", ""waste bin"", ""dustbin"", ""dumpster""]",captioning,a white basket with a bunch of beer bottles,,,,,False
5d4bdf69cf0b3a0f3f337997,5d4bdf69cf0b3a0f3f337997.jpg,trash container,228.0,Q2,af,tz,Tanzania,blip_prompted,"[""trash can"", ""garbage can"", ""garbage bin"", ""waste bin"", ""dustbin"", ""dumpster""]",captioning,the main household object in this image is a basket of beer bottles,,,,,False
5d4bdf69cf0b3a0f3f337997,5d4bdf69cf0b3a0f3f337997.jpg,trash container,228.0,Q2,af,tz,Tanzania,internvl,"[""trash can"", ""garbage can"", ""garbage bin"", ""waste bin"", ""dustbin"", ""dumpster""]",captioning,A white plastic basket is placed on top of a red crate filled with bottles.,,,,,False
5d4bdf69cf0b3a0f3f337997,5d4bdf69cf0b3a0f3f337997.jpg,trash container,228.0,Q2,af,tz,Tanzania,qwen,"[""trash can"", ""garbage can"", ""garbage bin"", ""waste bin"", ""dustbin"", ""dumpster""]",captioning,The main household object is a red Coca-Cola crate with several empty bottles inside and a white plastic basket on top.,,,,,False
5d4bdf69cf0b3a0f3f337997,5d4bdf69cf0b3a0f3f337997.jpg,trash container,228.0,Q2,af,tz,Tanzania,yolo_world,"[""trash can"", ""garbage can"", ""garbage bin"", ""waste bin"", ""dustbin"", ""dumpster""]",detection,footwear,footwear,0.426945149898529,,"[{""label"": ""footwear"", ""confidence"": 0.42694514989852905, ""xyxy"": [2108.32861328125, 3541.89794921875, 2634.91845703125, 3989.339599609375]}]",False
